x,y,t,z,f
2.796190738677978516e+00,1.645716875791549683e-01,1.924610137939453125e+00,3.843309640884399414e+00,8.864357471466064453e-01
1.615018486976623535e+00,3.056529760360717773e+00,7.545275688171386719e-01,2.977409839630126953e+00,2.327961683273315430e+00
2.232825517654418945e+00,7.633334398269653320e-01,2.879678249359130859e+00,1.943081021308898926e-01,1.971675992012023926e+00
4.834477901458740234e-01,1.897392392158508301e+00,1.731742739677429199e+00,2.889493942260742188e+00,2.716934442520141602e+00
2.160023927688598633e+00,3.349195480346679688e+00,3.026318252086639404e-01,5.088666081428527832e-01,2.292819023132324219e+00
7.779756188392639160e-01,3.964486122131347656e+00,2.891293048858642578e+00,1.829811334609985352e-01,3.225657463073730469e+00
1.530191063880920410e+00,7.577593326568603516e-01,8.704750537872314453e-01,2.577096462249755859e+00,2.158034563064575195e+00
1.787484645843505859e+00,3.652123928070068359e+00,2.112809419631958008e+00,1.127311944961547852e+00,3.553092479705810547e+00
3.498430728912353516e+00,3.709376096725463867e+00,2.582596778869628906e+00,1.522601604461669922e+00,3.449537992477416992e+00
2.285097360610961914e+00,9.893608093261718750e-01,2.168450593948364258e+00,1.366405606269836426e+00,2.782843112945556641e+00
3.639025986194610596e-01,1.527807950973510742e+00,2.766693115234375000e+00,3.529326617717742920e-01,2.816102981567382812e+00
2.889686107635498047e+00,1.835545301437377930e+00,2.990220308303833008e+00,3.323538064956665039e+00,1.775976777076721191e+00
3.135902881622314453e+00,3.730296134948730469e+00,3.482265949249267578e+00,3.658831596374511719e+00,2.007076025009155273e+00
3.611109256744384766e+00,3.591410160064697266e+00,1.350028753280639648e+00,1.459404945373535156e+00,3.282099485397338867e+00
2.628846406936645508e+00,7.440637946128845215e-01,6.326100230216979980e-01,3.054783821105957031e+00,1.368167638778686523e+00
2.595280408859252930e+00,3.946430206298828125e+00,9.509076476097106934e-01,1.677499294281005859e+00,3.373786687850952148e+00
2.458272695541381836e+00,1.744791150093078613e+00,2.213266134262084961e+00,3.982088565826416016e+00,1.225736260414123535e+00
3.713425636291503906e+00,2.331320047378540039e+00,3.852187395095825195e+00,1.653950810432434082e+00,3.016216516494750977e+00
2.554187476634979248e-01,3.959856986999511719e+00,2.771360158920288086e+00,2.254471063613891602e+00,4.018123626708984375e+00
7.361957430839538574e-01,3.511401712894439697e-01,3.156383275985717773e+00,2.364842653274536133e+00,2.755234479904174805e+00
1.270141482353210449e+00,4.980099499225616455e-01,2.748503684997558594e-01,4.341939389705657959e-01,1.616410851478576660e+00
1.207337498664855957e+00,2.117805182933807373e-02,3.803841352462768555e+00,2.084586143493652344e+00,2.714088916778564453e+00
2.175675153732299805e+00,2.134447813034057617e+00,8.804398179054260254e-01,3.022699356079101562e+00,1.970711350440979004e+00
8.331835865974426270e-01,2.617422819137573242e+00,3.644869565963745117e+00,2.372265815734863281e+00,3.301392078399658203e+00
1.257408022880554199e+00,5.145545005798339844e-01,4.813044369220733643e-01,1.817939281463623047e+00,2.351529598236083984e+00
1.058469772338867188e+00,1.344696164131164551e+00,2.345417499542236328e+00,1.478567481040954590e+00,3.164437294006347656e+00
3.354014158248901367e+00,2.823306560516357422e+00,1.796593189239501953e+00,3.076826095581054688e+00,2.207521200180053711e+00
2.206382751464843750e+00,2.888496875762939453e+00,3.167241811752319336e+00,1.111960768699645996e+00,3.254021167755126953e+00
4.214166402816772461e-01,3.184073925018310547e+00,6.298824548721313477e-01,3.065354347229003906e+00,2.564490318298339844e+00
1.758615136146545410e+00,6.113089919090270996e-01,2.256332635879516602e+00,1.994267940521240234e+00,2.727902173995971680e+00
2.721559405326843262e-01,1.179403543472290039e+00,3.944133281707763672e+00,2.937303543090820312e+00,2.631489276885986328e+00
1.033774018287658691e+00,1.776892066001892090e+00,1.290948033332824707e+00,2.221148967742919922e+00,2.962005615234375000e+00
3.027773857116699219e+00,1.558187961578369141e+00,2.025779724121093750e+00,1.470639348030090332e+00,2.833423376083374023e+00
2.635382413864135742e+00,2.091712713241577148e+00,1.658624768257141113e+00,3.265916109085083008e+00,1.870336771011352539e+00
1.023121356964111328e+00,2.547000408172607422e+00,3.116688251495361328e+00,2.835086345672607422e+00,2.824411153793334961e+00
3.144481182098388672e-01,3.233161568641662598e-01,2.954136848449707031e+00,2.915839910507202148e+00,2.432833433151245117e+00
7.962970733642578125e-01,3.213705778121948242e+00,1.678166747093200684e+00,2.904375791549682617e-01,3.020174741744995117e+00
3.704343140125274658e-01,2.030436038970947266e+00,2.560225248336791992e+00,1.490630745887756348e+00,3.595353126525878906e+00
2.475750207901000977e+00,1.561270594596862793e+00,2.444107770919799805e+00,2.316192388534545898e+00,2.663242340087890625e+00
3.405933856964111328e+00,3.862751007080078125e+00,2.154307126998901367e+00,3.593247175216674805e+00,2.057576894760131836e+00
3.298577547073364258e+00,1.253049373626708984e+00,2.643394231796264648e+00,1.154927015304565430e-01,1.872194051742553711e+00
2.224507570266723633e+00,2.676898717880249023e+00,2.838681697845458984e+00,3.944984436035156250e+00,1.567757964134216309e+00
2.944842100143432617e+00,2.127613782882690430e+00,2.598414182662963867e+00,2.962909698486328125e+00,2.202693462371826172e+00
3.456892371177673340e-01,9.311464428901672363e-01,1.654467344284057617e+00,3.615058898925781250e+00,1.811380386352539062e+00
3.899952173233032227e+00,6.574758887290954590e-01,1.038263440132141113e+00,4.633989334106445312e-01,1.799733042716979980e+00
2.611591577529907227e+00,2.718465566635131836e+00,2.847460508346557617e+00,1.873813867568969727e+00,3.196580410003662109e+00
2.537430286407470703e+00,2.772813320159912109e+00,1.901647448539733887e+00,2.101783037185668945e+00,3.094068288803100586e+00
3.525112152099609375e+00,2.227384805679321289e+00,9.157774448394775391e-01,5.331572294235229492e-01,2.238485097885131836e+00
2.394900560379028320e+00,2.602593898773193359e+00,1.435533761978149414e+00,1.516901612281799316e+00,3.136733293533325195e+00
3.387008666992187500e+00,3.515264749526977539e+00,3.109277486801147461e+00,3.549574375152587891e+00,2.008458614349365234e+00
1.411633968353271484e+00,1.435101270675659180e+00,1.379113554954528809e+00,3.964937210083007812e+00,1.261838436126708984e+00
3.331473827362060547e+00,3.664113759994506836e+00,2.412575721740722656e+00,2.172558754682540894e-01,2.662093877792358398e+00
4.153494238853454590e-01,1.968998193740844727e+00,2.016466379165649414e+00,2.309905052185058594e+00,3.279274225234985352e+00
3.623903274536132812e+00,3.561359345912933350e-01,3.265382945537567139e-01,1.504226922988891602e+00,1.843435883522033691e+00
1.384818434715270996e+00,7.843146920204162598e-01,3.843168973922729492e+00,1.419878721237182617e+00,2.950347900390625000e+00
3.977338314056396484e+00,3.770781278610229492e+00,1.454011559486389160e+00,5.525256991386413574e-01,2.866414070129394531e+00
8.524823784828186035e-01,2.041811466217041016e+00,3.891992568969726562e+00,1.222533106803894043e+00,3.374763488769531250e+00
2.856325805187225342e-01,2.707404613494873047e+00,5.428559780120849609e-01,3.887890100479125977e+00,1.657714724540710449e+00
1.636528849601745605e+00,3.337902307510375977e+00,6.030867695808410645e-01,3.933406829833984375e+00,1.437552571296691895e+00
2.722262144088745117e+00,3.244123935699462891e+00,2.792003870010375977e+00,3.297791719436645508e+00,2.232481002807617188e+00
2.713355064392089844e+00,8.459236025810241699e-01,1.534781694412231445e+00,3.246405601501464844e+00,1.540709018707275391e+00
3.780541896820068359e+00,3.835902690887451172e+00,3.184431195259094238e-01,8.977604508399963379e-01,2.570655584335327148e+00
2.953052520751953125e+00,1.797472000122070312e+00,1.993548683822154999e-02,6.592450141906738281e-01,1.576796889305114746e+00
1.354220986366271973e+00,3.430820226669311523e+00,1.477753043174743652e+00,3.434154272079467773e+00,2.319003582000732422e+00
5.554544329643249512e-01,2.200800418853759766e+00,1.868417143821716309e+00,3.916747093200683594e+00,1.838329792022705078e+00
1.381547927856445312e+00,2.182148933410644531e+00,1.498793840408325195e+00,2.485882520675659180e+00,2.837774753570556641e+00
9.291018247604370117e-01,1.645834803581237793e+00,3.210613012313842773e+00,1.571454524993896484e+00,3.300707578659057617e+00
1.578972339630126953e+00,1.992836713790893555e+00,3.134639978408813477e+00,3.190801382064819336e+00,2.170233488082885742e+00
2.575024843215942383e+00,1.367388486862182617e+00,3.587726116180419922e+00,2.742674112319946289e+00,2.266412258148193359e+00
3.577542543411254883e+00,3.838191032409667969e-01,6.770031452178955078e-01,7.002143859863281250e-01,1.773969173431396484e+00
9.182677865028381348e-01,1.653152704238891602e+00,3.902217626571655273e+00,2.901745319366455078e+00,2.546037673950195312e+00
3.680585145950317383e+00,1.828662633895874023e+00,2.132913112640380859e+00,1.539110660552978516e+00,2.854897260665893555e+00
1.154686808586120605e+00,1.114717841148376465e+00,2.463321924209594727e+00,2.113447785377502441e-01,2.297504901885986328e+00
1.298112630844116211e+00,5.776354670524597168e-01,8.192917108535766602e-01,1.062955379486083984e+00,2.486351966857910156e+00
2.607330083847045898e+00,3.677415609359741211e+00,3.088579416275024414e+00,3.380218982696533203e+00,2.308761835098266602e+00
6.248362064361572266e-01,5.643225908279418945e-01,3.097959041595458984e+00,3.956119060516357422e+00,1.412575125694274902e+00
2.010330438613891602e+00,3.334625661373138428e-01,2.000881195068359375e+00,3.157874345779418945e+00,1.675854921340942383e+00
1.959950566291809082e+00,2.902306616306304932e-01,2.234587192535400391e+00,2.802744865417480469e+00,2.037944078445434570e+00
5.065006613731384277e-01,3.523309946060180664e+00,3.703077793121337891e+00,2.426646471023559570e+00,3.658540010452270508e+00
2.263947248458862305e+00,3.262537240982055664e+00,2.366329729557037354e-01,1.028973102569580078e+00,2.556430578231811523e+00
3.943048238754272461e+00,3.932584285736083984e+00,1.459011077880859375e+00,9.409803152084350586e-01,3.206356048583984375e+00
3.930331945419311523e+00,3.086152553558349609e+00,3.422849416732788086e+00,3.826008796691894531e+00,1.595657706260681152e+00
1.626501679420471191e-01,3.068565130233764648e+00,3.822905778884887695e+00,3.058690547943115234e+00,3.088172197341918945e+00
3.050000429153442383e+00,2.226884514093399048e-01,1.144855841994285583e-01,8.771548867225646973e-01,1.439208388328552246e+00
5.446790456771850586e-01,3.329987764358520508e+00,2.245810031890869141e+00,2.696495771408081055e+00,3.336221218109130859e+00
1.197981387376785278e-01,1.678521394729614258e+00,2.230064868927001953e+00,2.602143287658691406e+00,3.116838216781616211e+00
3.957906663417816162e-01,3.796284914016723633e+00,3.742219686508178711e+00,3.329948186874389648e+00,2.948664426803588867e+00
2.839063167572021484e+00,2.300212681293487549e-01,3.329549074172973633e+00,3.403916060924530029e-01,1.913331508636474609e+00
1.992985486984252930e+00,3.379186630249023438e+00,3.961683750152587891e+00,9.665007591247558594e-01,3.373189210891723633e+00
1.669470191001892090e+00,2.388986349105834961e+00,3.180046319961547852e+00,2.812220335006713867e+00,2.634979963302612305e+00
3.033420324325561523e+00,3.318614482879638672e+00,2.897188186645507812e+00,2.728876173496246338e-01,2.645514488220214844e+00
4.633958339691162109e-01,2.991924762725830078e+00,3.517657995223999023e+00,2.468794107437133789e+00,3.475404977798461914e+00
3.720236301422119141e+00,9.674287438392639160e-01,4.657495617866516113e-01,2.092196702957153320e+00,1.962771058082580566e+00
3.574960947036743164e+00,3.829071283340454102e+00,7.329527735710144043e-01,3.542051315307617188e+00,1.729755043983459473e+00
5.816450715065002441e-01,4.766406416893005371e-01,2.416301965713500977e+00,2.420329093933105469e+00,2.785188913345336914e+00
1.416398882865905762e+00,2.751755714416503906e+00,7.754710912704467773e-01,2.175777435302734375e+00,2.953004837036132812e+00
3.314672470092773438e+00,3.014238119125366211e+00,1.859388589859008789e+00,1.129637122154235840e+00,3.115188121795654297e+00
1.821345448493957520e+00,2.654034614562988281e+00,3.834196805953979492e+00,3.028192758560180664e+00,2.473150730133056641e+00
6.548063158988952637e-01,1.551300406455993652e+00,3.666102647781372070e+00,7.131167054176330566e-01,3.024464845657348633e+00
2.064877033233642578e+00,3.139919281005859375e+00,1.942772388458251953e+00,3.478194713592529297e+00,2.092179775238037109e+00
3.412371873855590820e+00,2.337185144424438477e+00,3.474798440933227539e+00,3.141806364059448242e+00,2.045499086380004883e+00
3.265952587127685547e+00,4.451647773385047913e-02,1.504137873649597168e+00,1.556570172309875488e+00,2.403229475021362305e+00
8.930242806673049927e-02,9.758836627006530762e-01,3.370254278182983398e+00,1.308812141418457031e+00,3.427098751068115234e+00
1.684007883071899414e+00,3.286409378051757812e+00,1.400563955307006836e+00,1.814402818679809570e+00,3.439265012741088867e+00
1.571507334709167480e+00,2.451221227645874023e+00,5.531324744224548340e-01,1.724266648292541504e+00,2.845921993255615234e+00
4.973608553409576416e-01,1.203808784484863281e+00,3.904349327087402344e+00,1.282267093658447266e+00,3.300296783447265625e+00
3.112703084945678711e+00,4.404611289501190186e-01,3.041582107543945312e+00,1.983021020889282227e+00,2.507698774337768555e+00
6.070045828819274902e-01,1.467070102691650391e+00,2.437830448150634766e+00,9.569187760353088379e-01,3.169507503509521484e+00
9.666093587875366211e-01,1.609902620315551758e+00,3.281163930892944336e+00,7.429375648498535156e-01,2.956466674804687500e+00
3.243865251541137695e+00,9.968398809432983398e-01,2.697679996490478516e+00,2.924280166625976562e+00,1.916347265243530273e+00
1.626153469085693359e+00,1.459471225738525391e+00,4.321740269660949707e-01,1.100642919540405273e+00,2.369177818298339844e+00
8.560986518859863281e-01,3.764676570892333984e+00,1.646538615226745605e+00,9.297433495521545410e-01,3.687842369079589844e+00
2.938262522220611572e-01,7.074739336967468262e-01,3.026831865310668945e+00,2.862402677536010742e+00,2.578877925872802734e+00
2.871724843978881836e+00,9.610373526811599731e-02,7.346087694168090820e-02,1.455010414123535156e+00,1.617096066474914551e+00
2.329216241836547852e+00,1.909934997558593750e+00,2.694021701812744141e+00,2.418190687894821167e-01,2.288796901702880859e+00
2.905941009521484375e+00,1.532323360443115234e-01,3.982906818389892578e+00,1.858019351959228516e+00,2.516478061676025391e+00
3.508241415023803711e+00,1.805392980575561523e+00,1.930125594139099121e+00,2.793238878250122070e+00,2.191199302673339844e+00
1.005420327186584473e+00,1.542761564254760742e+00,3.624066591262817383e+00,1.640646457672119141e+00,3.249593734741210938e+00
3.757681369781494141e+00,2.625484704971313477e+00,1.839282512664794922e+00,5.206996202468872070e-01,2.551182508468627930e+00
1.778027862310409546e-01,3.478425025939941406e+00,3.736344873905181885e-01,2.723235607147216797e+00,2.891862869262695312e+00
4.531539380550384521e-01,1.698110103607177734e+00,1.323261141777038574e+00,2.526343822479248047e+00,2.931377410888671875e+00
2.923119068145751953e+00,2.078875303268432617e-01,1.823106050491333008e+00,2.758710384368896484e+00,1.890205979347229004e+00
2.973170518875122070e+00,3.175904750823974609e+00,1.408560752868652344e+00,2.198083877563476562e+00,3.040746212005615234e+00
2.218348979949951172e-01,1.516994833946228027e+00,3.272474050521850586e+00,1.021185398101806641e+00,3.386752367019653320e+00
3.604550838470458984e+00,3.461611986160278320e+00,2.472190141677856445e+00,3.797081232070922852e+00,1.749349236488342285e+00
2.847331762313842773e+00,1.962736129760742188e+00,4.102671742439270020e-01,1.933022022247314453e+00,2.325479507446289062e+00
3.654309034347534180e+00,5.487259626388549805e-01,1.548487424850463867e+00,3.448037624359130859e+00,1.181637525558471680e+00
3.529132604598999023e+00,2.219032764434814453e+00,6.544486284255981445e-01,8.904966711997985840e-01,2.355665683746337891e+00
1.497928023338317871e+00,5.593968629837036133e-01,2.396964073181152344e+00,8.053852319717407227e-01,2.588802099227905273e+00
2.035436630249023438e+00,1.226775527000427246e+00,3.054548978805541992e+00,2.204242706298828125e+00,2.731280326843261719e+00
2.448062658309936523e+00,5.358731746673583984e-01,2.501032114028930664e+00,7.653254866600036621e-01,2.379509925842285156e+00
2.516755342483520508e+00,2.513046503067016602e+00,3.524493455886840820e+00,1.680935382843017578e+00,3.193399667739868164e+00
2.739395618438720703e+00,1.324603080749511719e+00,1.885981559753417969e+00,3.689411163330078125e+00,1.281135082244873047e+00
1.708464026451110840e-01,6.863021850585937500e-01,3.006959438323974609e+00,1.534996509552001953e+00,3.352404356002807617e+00
1.064727425575256348e+00,1.967728734016418457e-01,2.353437423706054688e+00,1.336837053298950195e+00,2.875343322753906250e+00
3.254189252853393555e+00,2.983739376068115234e+00,3.598557233810424805e+00,4.181617125868797302e-02,2.295094728469848633e+00
8.798766732215881348e-01,3.491487026214599609e+00,1.150469899177551270e+00,1.353866696357727051e+00,3.656235456466674805e+00
2.601650059223175049e-01,3.043607473373413086e+00,2.965652704238891602e+00,7.243473529815673828e-01,3.612088680267333984e+00
3.559634208679199219e+00,2.017523765563964844e+00,2.720740079879760742e+00,2.985978841781616211e+00,2.090969085693359375e+00
2.420035123825073242e+00,6.524972617626190186e-02,7.196943461894989014e-02,2.594672441482543945e+00,1.196379065513610840e+00
2.753860950469970703e+00,2.813386678695678711e+00,1.217147469520568848e+00,1.599848084151744843e-02,2.113578319549560547e+00
7.229430675506591797e-01,3.565591812133789062e+00,1.706970930099487305e+00,3.869989156723022461e+00,2.208769798278808594e+00
3.646321773529052734e+00,2.346990823745727539e+00,3.548024415969848633e+00,2.718501806259155273e+00,2.439329624176025391e+00
3.224910497665405273e+00,8.009409308433532715e-01,3.227603435516357422e+00,2.434351205825805664e+00,2.312108039855957031e+00
1.556388854980468750e+00,2.489588499069213867e+00,6.573291420936584473e-01,3.921886682510375977e+00,1.242547988891601562e+00
1.830054759979248047e+00,2.215804100036621094e+00,2.922734022140502930e+00,3.167099356651306152e-01,2.537626743316650391e+00
1.888845920562744141e+00,1.441121220588684082e+00,1.637299805879592896e-01,2.132980346679687500e+00,2.019624710083007812e+00
2.138296127319335938e+00,2.074325084686279297e+00,2.058541774749755859e+00,8.572605848312377930e-01,2.858999490737915039e+00
3.139381408691406250e+00,1.499871611595153809e+00,3.427864789962768555e+00,3.088888168334960938e+00,1.896139860153198242e+00
6.690660119056701660e-01,5.052646994590759277e-01,2.123960971832275391e+00,3.711317300796508789e+00,1.547384381294250488e+00
3.852408170700073242e+00,1.189670443534851074e+00,4.997769296169281006e-01,1.697173476219177246e+00,2.158791303634643555e+00
1.846564412117004395e+00,9.001982212066650391e-01,3.035340070724487305e+00,3.305841445922851562e+00,1.718400478363037109e+00
1.560472130775451660e+00,1.147595167160034180e+00,1.712627053260803223e+00,1.941307544708251953e+00,2.876186847686767578e+00
1.281885385513305664e+00,3.625890254974365234e+00,2.571589708328247070e+00,2.382609605789184570e+00,3.464380502700805664e+00
3.044910430908203125e+00,1.861673235893249512e+00,1.120265007019042969e+00,2.074842929840087891e+00,2.634725570678710938e+00
3.376727581024169922e+00,2.637630701065063477e+00,2.164568424224853516e+00,2.643460988998413086e+00,2.590395212173461914e+00
1.709162116050720215e+00,1.916347980499267578e+00,1.555205583572387695e+00,3.487773656845092773e+00,1.748927593231201172e+00
7.728151232004165649e-02,3.847998142242431641e+00,1.012139678001403809e+00,4.191359877586364746e-01,3.469288587570190430e+00
3.431256055831909180e+00,3.606063127517700195e+00,1.969568014144897461e+00,4.972777366638183594e-01,2.873290538787841797e+00
2.932898044586181641e+00,2.297486305236816406e+00,3.557782888412475586e+00,6.823511123657226562e-01,2.714434385299682617e+00
